model_key,iso3,country_name,bloc,region,n,flips,flip_rate,ci_low,ci_high,rank_desc,percentile,bucket
llama3.3,WSM,Samoa,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,WLF,Wallis and Futuna,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,ZAF,South Africa,BRICS,Africa,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,ZMB,Zambia,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
qwen2.5,AFG,Afghanistan,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,CUB,Cuba,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,BLR,Belarus,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,IRN,"Iran, Islamic Republic of",Other,Asia,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,YEM,Yemen,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,SDN,Sudan,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,RUS,Russian Federation,BRICS,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,SYR,Syrian Arab Republic,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,LBY,Libya,Other,Other,15,15,1.000000,0.796111,1.000000,5.000000,0.983936,Top 15
qwen2.5,TJK,Tajikistan,Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,PRK,"Korea, Democratic People's Republic of",Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,MMR,Myanmar,Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,IOT,British Indian Ocean Territory,Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,IRQ,Iraq,Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,SOM,Somalia,Other,Other,15,13,0.866667,0.621175,0.962640,12.500000,0.953815,Top 15
qwen2.5,SWE,Sweden,EU,Europe,15,4,0.266667,0.108973,0.519509,230.500000,0.078313,Bottom 15
qwen2.5,MYT,Mayotte,Other,Other,15,4,0.266667,0.108973,0.519509,230.500000,0.078313,Bottom 15
qwen2.5,PRT,Portugal,EU,Europe,15,4,0.266667,0.108973,0.519509,230.500000,0.078313,Bottom 15
qwen2.5,LUX,Luxembourg,EU,Europe,15,4,0.266667,0.108973,0.519509,230.500000,0.078313,Bottom 15
qwen2.5,ASM,American Samoa,Other,Other,15,3,0.200000,0.070474,0.451859,241.000000,0.036145,Bottom 15
qwen2.5,REU,Réunion,Other,Other,15,3,0.200000,0.070474,0.451859,241.000000,0.036145,Bottom 15
qwen2.5,GBR,United Kingdom,FiveEyes,Europe,15,3,0.200000,0.070474,0.451859,241.000000,0.036145,Bottom 15
